feature,n_event,n_base,mean_event,mean_base,median_event,median_base,cohens_d,abs_d,magnitude
stoch_d,161318,19997,83.87021396348142,51.30957359179849,87.60059879741507,51.69872104206407,2.1503606260996047,2.1503606260996047,large
stoch_k,161320,19997,83.43056478235968,51.357369422233944,86.27450574246166,51.744186797229325,1.9352173287569951,1.9352173287569951,large
bb_pctb,161320,19997,90.71322691395002,51.00861553641969,92.60560035623473,52.08736515766458,1.8119023888663852,1.8119023888663852,large
pre_5_disp_atr,161320,20000,2.01809819035096,0.026687490737637893,1.9142895943914964,0.0,1.5164191360087096,1.5164191360087096,large
dist_to_hh20_atr,161320,20000,0.3700375742746864,2.388712997414958,0.2243974342729686,2.086382702468883,-1.5042660712213305,1.5042660712213305,large
dist_to_ema20_atr,161320,20000,1.8312575985277717,0.05506551766951353,1.7575386240662043,0.0824917509475583,1.4911893633046454,1.4911893633046454,large
rsi14,161320,20000,63.478628949988206,50.56616592110686,63.47060490632315,50.727405148216015,1.415676510457264,1.415676510457264,large
dist_to_ll20_atr,161320,20000,4.767748750332603,2.59052533761278,4.501741264906664,2.3080098860915035,1.2280583701762273,1.2280583701762273,large
pre_15_disp_atr,161320,20000,2.6407149493316227,0.08333488764791505,2.625892208745408,0.0,1.1307050286630205,1.1307050286630205,large
mfi14,160916,19991,67.5912918918462,50.62151741106795,69.43041483421793,50.78909139758672,1.0038395617755236,1.0038395617755236,large
dist_to_ema50_atr,161319,20000,2.2866133662068324,0.1510709923887247,2.2622881456533084,0.1926217599754883,1.0010610475727413,1.0010610475727413,large
vol_z,161319,20000,0.9665971089410521,5.213293226775066e-05,0.699082645958697,-0.31135069734732246,0.7428655124710136,0.7428655124710136,medium
upper_wick_to_atr,161320,20000,0.4986502324594805,0.20366497371134454,0.4368922646037901,0.12894108651038264,0.7151266901403704,0.7151266901403704,medium
pre_30_disp_atr,161320,20000,2.6329288840562586,0.17662881652620332,2.656929559160772,0.03754115077228609,0.710396410419711,0.710396410419711,medium
body_to_atr,161320,20000,0.6754784912701308,0.49627616837631994,0.5444305420158226,0.40182485227461545,0.29887566786251174,0.29887566786251174,small
rvol,161309,20000,2.225933412681514,1.3473903434974426,1.2505495073827932,0.6905653356839011,0.24662587234099467,0.24662587234099467,small
atr_ratio,161320,20000,1.0359867536223946,1.0063154622640629,1.0082045717319397,0.9826978310916156,0.18824187018951394,0.18824187018951394,tiny
lower_wick_to_atr,161320,20000,0.16198136327138188,0.20140709414667113,0.06691106265585142,0.12443375161604928,-0.1650248939028728,0.1650248939028728,tiny
dist_to_ema200_atr,161316,20000,2.872486907731196,-0.1086063555996473,2.8775732590813377,0.6051241201553051,0.11230557709093456,0.11230557709093456,tiny
bb_width_pct,161320,20000,0.19613054085183565,0.17892152932779848,0.134266411051235,0.12027887577679491,0.08277872140425531,0.08277872140425531,negligible
above_pct,161319,20000,54.86935822810704,54.7325,60.0,62.0,0.0033367644580552763,0.0033367644580552763,negligible
slope_pct,161270,19999,0.07530359481698615,0.0785930568840771,0.13430021592118424,0.13803933618424294,-0.0025620806019851154,0.0025620806019851154,negligible
