kst_h,kst_h_event_pct,kst_h_base_pct,kst_h_lift
21,8.990384615384615,4.465,2.0135239900077524
15,8.550824175824175,4.43,1.930208617567534
22,7.688873626373627,4.2700000000000005,1.8006729804153692
14,6.5985576923076925,4.075,1.6192779613025012
16,6.368475274725275,4.335,1.4690831083564648
20,6.184752747252747,4.62,1.338691070833928
13,5.169986263736264,4.18,1.2368388190756612
3,4.43853021978022,4.1000000000000005,1.0825683462878584
19,4.507211538461538,4.51,0.9993817158451305
9,4.048763736263736,4.275,0.9470792365529207
23,4.199862637362638,4.45,0.9437893567107051
17,4.029876373626374,4.475,0.9005310332125976
18,3.811813186813187,4.52,0.8433215015073423
2,3.494162087912088,4.29,0.8144899971823049
10,3.0442994505494503,4.2299999999999995,0.7196925415010521
4,2.5618131868131866,3.66,0.6999489581456794
11,2.8949175824175826,4.25,0.6811570782159018
12,2.963598901098901,4.390000000000001,0.6750794763323236
8,2.7747252747252746,4.4799999999999995,0.6193583202511774
0,2.5841346153846154,4.375,0.5906593406593407
1,2.6596840659340657,4.6850000000000005,0.5677020418215721
5,0.5511675824175825,1.6,0.344479739010989
7,1.2122252747252749,4.515000000000001,0.2684884329402602
6,0.6713598901098901,2.82,0.23807088301769153
