feature,n_event,n_base,mean_event,mean_base,median_event,median_base,cohens_d,abs_d,magnitude
stoch_k,60207,19994,29.935479060476453,52.37747935715287,24.242428649323013,53.75831141862237,-0.940680070638071,0.940680070638071,large
lower_wick_to_atr,60207,20000,0.6006429978780105,0.23846746013527573,0.526734557252474,0.18345993886131284,0.9347551919127891,0.9347551919127891,large
pre_5_disp_atr,60207,20000,-1.2651451903303348,0.030263821737711145,-1.2389793091228851,0.0,-0.8909835660391727,0.8909835660391727,large
bb_pctb,60207,19993,23.941863730113834,51.67605565371302,17.556165445074445,53.48747439392518,-0.8764143335664184,0.8764143335664184,large
stoch_d,60203,19994,32.77758006937539,52.44917745162339,26.495713704706898,53.70370440374607,-0.8356404467033813,0.8356404467033813,large
vol_z,60207,20000,1.1262496481544653,0.06850406315783514,0.9401315583127878,-0.24015197731926408,0.8286819674447545,0.8286819674447545,large
dist_to_ema20_atr,60207,20000,-1.0337635388202888,0.08530678692294397,-1.0104070535009377,0.11379891797327904,-0.821353747200832,0.821353747200832,large
dist_to_ll20_atr,60207,20000,1.1810830876762684,2.5051049001546986,0.8707808585339015,2.241790103455286,-0.801139709608757,0.801139709608757,large
rsi14,60207,20000,42.0284136143928,50.962762580773514,41.90405962326764,51.14449659759534,-0.7703378854723765,0.7703378854723765,medium
dist_to_hh20_atr,60207,20000,3.4519777394665883,2.196204481350011,3.17201659697905,1.874035798978646,0.7177151883646451,0.7177151883646451,medium
dist_to_ema50_atr,60206,20000,-1.0951877107035257,0.2499878400320908,-1.0954609134744495,0.280260816950049,-0.6140709165532292,0.6140709165532292,medium
pre_15_disp_atr,60207,20000,-1.3498761581705645,0.13496874021544156,-1.3420635283206048,0.17457416616429436,-0.6078497582987029,0.6078497582987029,medium
mfi14,60206,19988,39.813289428957006,50.93204261473439,38.62420736389936,50.92251237531733,-0.6050506610926947,0.6050506610926947,medium
atr_ratio,60206,20000,1.1546460671613816,1.008889574432174,1.096991180245098,0.9736508473137531,0.5964113122665498,0.5964113122665498,medium
rvol,60204,20000,2.940157910252427,1.3347644014325,1.789489129621339,0.8097728026477564,0.48120654879526104,0.48120654879526104,small
pre_30_disp_atr,60206,20000,-1.2271899943652933,0.29226702756186207,-1.2276246245239615,0.26257430161446643,-0.4527639544661212,0.4527639544661212,small
body_to_atr,60207,20000,0.6954933612998747,0.49491341226194235,0.5619149652704953,0.3849768213311599,0.3569936085261539,0.3569936085261539,small
dist_to_ema200_atr,60200,20000,-0.4062696245837782,1.1713629534852015,-0.5895963498694701,0.9867121939539117,-0.26825981940288285,0.26825981940288285,small
upper_wick_to_atr,60207,20000,0.21541483507734158,0.23403022702244156,0.14994967890099772,0.17923903401353616,-0.07437649189043569,0.07437649189043569,negligible
bb_width_pct,60207,20000,0.41450973269355496,0.39472241794361235,0.2804405842088425,0.2682962111895324,0.04542179194059544,0.04542179194059544,negligible
above_pct,60206,20000,56.76773079095107,57.2869,70.0,68.0,-0.0124759950224034,0.0124759950224034,negligible
slope_pct,60184,20000,0.07999443115120868,0.08588619775358643,0.1382695836109802,0.14741247139530117,-0.005572858314293154,0.005572858314293154,negligible
