kst_h,kst_h_event_pct,kst_h_base_pct,kst_h_lift
21,8.959091135582241,4.465,2.0065153719109166
15,8.322952480608567,4.43,1.8787703116497896
22,7.643629478299865,4.2700000000000005,1.7900771611943476
14,6.1521085588054545,4.075,1.5097198917313999
16,6.502566146793562,4.335,1.5000152587759081
20,5.9710664872855315,4.62,1.292438633611587
13,5.278455993489129,4.18,1.262788515188787
3,4.4330393475841685,4.1000000000000005,1.0812291091668702
19,4.481206504227083,4.51,0.9936156328663157
23,4.228744165960769,4.45,0.9502795878563527
9,4.04438022156892,4.275,0.9460538529985777
17,3.894895942332287,4.475,0.8703678083424106
2,3.60921487534672,4.29,0.8413088287521492
18,3.755377281711429,4.52,0.830835681794564
10,3.0743933429667645,4.2299999999999995,0.7268069368715756
4,2.635906123872639,3.66,0.7201929300198467
11,2.9963293304765224,4.25,0.7050186659944758
12,2.9431793645257196,4.390000000000001,0.670428101258706
8,2.9448403009616824,4.4799999999999995,0.6573304243218042
0,2.7721029116215723,4.375,0.6336235226563594
1,2.808643513212749,4.6850000000000005,0.5994970145598183
5,0.513229358712442,1.6,0.32076834919527625
6,0.8454166459049611,2.82,0.2997931368457309
7,1.1892304881492186,4.515000000000001,0.2633954569544227
