kind,slot,atr_bin,pre_dir,N,V_pct,W_pct,drift_pct,Lambda_pct,N_pct,flat_pct,v_drift_sum,w15_mean_disp,w15_sharpe,w15_wr
low,Other,low,up,67,19.4,14.9,22.4,20.9,7.5,14.9,41.8,1.22,0.447,67.2
high,Other,low,up,1884,30.3,17.2,11.4,18.7,8.7,13.7,41.7,2.85,0.354,78.7
low,Other,low,down,1761,28.1,16.6,12.8,20.6,8.2,13.7,40.9,2.44,0.426,77.8
high,Other,low,down,57,15.8,5.3,22.8,31.6,7.0,17.5,38.6,-2.75,-0.111,59.6
low,Other,low,flat,233,21.9,10.3,15.5,29.2,6.0,17.2,37.3,1.9,0.343,68.2
low,EU_late,low,down,70,27.1,18.6,8.6,28.6,5.7,11.4,35.7,1.83,0.443,78.6
high,Asia_late,low,up,320,26.9,25.3,7.5,11.2,13.1,15.9,34.4,8.84,0.322,88.8
high,Other,low,flat,195,16.9,17.9,16.9,31.3,5.6,11.3,33.8,3.4,0.301,66.2
high,EU_late,low,up,78,21.8,17.9,10.3,24.4,9.0,16.7,32.1,2.06,0.524,79.5
low,Asia_late,low,down,262,25.2,25.2,6.9,14.5,12.2,16.0,32.1,9.52,0.337,84.4
low,Other,high,flat,2414,15.8,13.6,9.4,31.4,8.9,20.8,25.3,2.1,0.208,63.0
