kind,slot,atr_bin,pre_dir,N,V_pct,W_pct,drift_pct,Lambda_pct,N_pct,flat_pct,v_drift_sum,w15_mean_disp,w15_sharpe,w15_wr
low,Other,low,up,67,19.4,14.9,22.4,20.9,7.5,14.9,41.8,1.22,0.447,67.2
high,Other,low,up,1884,30.3,17.2,11.4,18.7,8.7,13.7,41.7,2.85,0.354,78.7
low,Other,low,down,1761,28.1,16.6,12.8,20.6,8.2,13.7,40.9,2.44,0.426,77.8
high,Other,low,down,57,15.8,5.3,22.8,31.6,7.0,17.5,38.6,-2.75,-0.111,59.6
low,Other,low,flat,233,21.9,10.3,15.5,29.2,6.0,17.2,37.3,1.9,0.343,68.2
low,EU_late,low,down,70,27.1,18.6,8.6,28.6,5.7,11.4,35.7,1.83,0.443,78.6
high,Asia_late,low,up,320,26.9,25.3,7.5,11.2,13.1,15.9,34.4,8.84,0.322,88.8
high,Other,low,flat,195,16.9,17.9,16.9,31.3,5.6,11.3,33.8,3.4,0.301,66.2
high,EU_late,low,up,78,21.8,17.9,10.3,24.4,9.0,16.7,32.1,2.06,0.524,79.5
low,Asia_late,low,down,262,25.2,25.2,6.9,14.5,12.2,16.0,32.1,9.52,0.337,84.4
low,Other,high,flat,2414,15.8,13.6,9.4,31.4,8.9,20.8,25.3,2.1,0.208,63.0
high,Other,high,flat,2404,14.9,12.9,8.9,32.7,9.1,21.5,23.8,2.57,0.2,64.3
low,Other,mid,up,14953,13.4,12.4,10.2,34.1,9.2,20.8,23.5,2.19,0.206,62.3
low,Other,mid,down,132408,17.4,18.6,6.2,26.6,10.8,20.4,23.5,4.37,0.332,72.6
high,Other,mid,up,130616,17.1,18.5,6.0,26.4,11.1,20.8,23.1,4.29,0.333,71.7
low,Other,mid,flat,17356,14.0,15.2,8.7,31.5,9.9,20.7,22.7,3.41,0.274,67.5
high,Other,high,up,22629,15.7,15.7,6.9,28.5,10.9,22.3,22.6,2.16,0.189,64.5
low,Other,high,down,25021,16.3,16.8,6.2,28.7,10.7,21.2,22.6,2.48,0.184,65.1
high,Other,mid,down,15632,13.2,12.9,9.2,34.2,9.2,21.3,22.4,2.28,0.197,60.6
high,Other,mid,flat,17437,13.8,14.8,8.3,31.8,10.4,20.9,22.1,3.56,0.277,65.2
low,EU_late,mid,down,19769,17.7,18.6,3.8,30.0,10.1,19.9,21.5,4.12,0.308,70.7
low,Other,high,up,6391,11.8,12.7,9.6,35.3,8.7,21.9,21.4,2.05,0.179,62.3
high,EU_late,mid,up,19743,17.1,19.2,3.9,29.5,10.2,20.2,21.0,4.2,0.301,70.6
high,Other,high,down,7082,12.4,13.3,8.3,35.9,8.7,21.4,20.7,2.68,0.189,59.9
low,EU_late,mid,up,2413,14.1,14.6,6.6,36.8,8.2,19.6,20.7,2.23,0.181,61.2
high,EU_late,high,up,3705,16.9,17.1,3.4,30.3,10.4,21.8,20.3,3.92,0.167,66.8
low,EU_late,mid,flat,2605,14.7,15.9,5.3,35.3,9.1,19.6,20.1,2.81,0.174,65.8
high,EU_late,mid,down,2483,13.8,13.5,5.7,36.8,8.8,21.3,19.5,2.12,0.218,59.1
high,EU_late,mid,flat,2696,14.9,15.7,4.3,36.1,9.6,19.4,19.2,3.01,0.235,63.6
